n,k,requested,mapping,resolved,timing,timing_boundary,execution_schedule,cache,rotations,packed_ring_bytes,total_ring_bytes,samples,iterations_per_sample,calibration_us,median_us,p10_us,p90_us,effective_gbps,effective_tflops,correct,speedup_vs_old,latency_ratio_vs_auto
12288,4096,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1095,91.33621215820312,55.980872236974704,55.81535618054813,56.44589533000232,478.8104030700709,1.7981730540724423,True,1.0,1.1550054576189541
12288,4096,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1747,57.24903106689453,48.468058629246116,48.177576965786216,48.77380432233718,553.028628710663,2.0768996911970135,True,1.1550054576189541,1.0
12288,4096,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1746,57.30624198913574,48.33220998582698,48.14992251401641,48.96031234409118,554.5830411615798,2.082737289056691,True,1.1582518625444735,0.9971971511287815
14336,4096,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1,,98.88100251555443,96.0290014743805,132.03389644622803,316.22721457624044,1.1876954016675356,True,1.0,1.2141427829882208
14336,4096,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1,,81.4410001039505,71.3209979236126,97.32400104403496,383.9449903622098,1.442031800322934,True,1.2141427829882208,1.0
14336,4096,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1,,78.10100167989731,71.09699994325638,105.22199720144273,400.36444254784,1.503700458047114,True,1.2660657403707252,0.9589887351605451
14336,4096,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1051,95.22187232971191,61.47191549459035,61.28847537780239,61.739995431945395,508.66910114020646,1.9104742556840448,True,1.0,1.082099386792765
14336,4096,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1512,66.15903854370117,56.80801250316479,56.69008032985466,57.11655339235982,550.4305224242444,2.067323020559069,True,1.082099386792765,1.0
14336,4096,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1512,66.14093780517578,56.8369431470437,56.75627289625703,57.187500706425425,550.1503470920993,2.0662707298696183,True,1.0815485860236262,1.000509270481471
18944,3584,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,1,,115.66150188446045,110.11790260672569,148.7369000911713,312.63201161023625,1.1740344867356765,True,1.0,1.44286504718317
18944,3584,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,1,,80.16099780797958,76.43299773335457,125.21400600671768,451.0858021829728,1.6939733250985407,True,1.44286504718317,1.0
18944,3584,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,1,,86.4810012280941,75.74099823832512,120.72300091385843,418.1205985882282,1.5701783058900023,True,1.337420939188743,1.0788413766412148
18944,3584,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,929,107.73221969604492,66.04898040081636,65.79873872393556,66.32960948800374,547.4647417805267,2.055907467094248,True,1.0,1.259666240541737
18944,3584,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,1377,72.64802932739258,52.43371480084366,52.131288815168,53.340361684495846,689.6228531078289,2.5897572299762963,True,1.259666240541737,1.0
18944,3584,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,1405,71.21700763702393,53.09122431744885,52.43046607835437,53.416118689703346,681.0822026591671,2.5576843206339723,True,1.2440658743503272,1.0125398232626197
