n,k,requested,mapping,resolved,timing,timing_boundary,cache,rotations,packed_ring_bytes,total_ring_bytes,samples,iterations_per_sample,calibration_us,median_us,p10_us,p90_us,effective_gbps,effective_tflops,correct,speedup_vs_old
12288,4096,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,80216064,80281600,30,1076,92.9893684387207,55.550078920272206,55.37729298758241,91.74554463212819,482.5235989038025,1.8121179655653805,True,1.0
12288,4096,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,80216064,80281600,30,1,,62.94099986553192,60.66799834370613,88.3370004594326,425.8626977211188,1.5993278819062064,True,1.5643380677426235
12288,4096,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,80216064,80281600,30,1684,59.416208267211914,48.65067135409901,48.41880934255423,57.568692821221795,550.9528081310154,2.069103944472469,True,1.141815259155553
12288,4096,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,80216064,80281600,30,1,,64.36099857091904,61.38499863445759,89.03799802064896,416.4668758279841,1.5640418613002045,True,1.529824028490504
12288,4096,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,80216064,80281600,30,1687,59.28701877593994,48.73027925881395,48.525335270056864,57.537718333644,550.0527476487191,2.0657237662308865,True,1.1399499400616455
14336,4096,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,93585408,93659136,30,1,,97.12100028991699,96.64099663496017,110.42190194129945,321.9578042509752,1.2092185176164476,True,1.0
14336,4096,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,93585408,93659136,30,1044,95.85619926452637,61.32642154035897,61.093900030143416,92.71085015658676,509.87589385795053,1.9150067629938639,True,1.0
14336,4096,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,93585408,93659136,30,1,,71.18099927902222,70.15699967741966,93.14200282096864,439.286668025399,1.6498856884495994,True,1.3644231083243525
14336,4096,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,93585408,93659136,30,1490,67.1382999420166,56.76313310661572,56.68362406276216,66.00336727679976,550.8657166839092,2.0689575358607604,True,1.0803917645837524
14336,4096,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,93585408,93659136,30,1,,73.42100143432617,71.54410257935524,104.62599769234657,425.884466149232,1.5995493074968272,True,1.3227959084266927
14336,4096,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,93585408,93659136,30,1490,67.12060928344727,56.74410570387872,56.69565597636588,65.98490670223364,551.0504326771446,2.0696512975791315,True,1.0807540409640648
18944,3584,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,2,72138752,72228864,30,1,,112.46100068092346,110.91310232877731,137.1489018201828,321.5291325976407,1.2074460584364504,True,1.0
18944,3584,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,2,72138752,72228864,30,931,107.42573738098145,64.08240075526253,63.97866885208802,105.45332649468608,564.2655015079245,2.118999762799129,True,1.0
18944,3584,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,2,72138752,72228864,30,1,,86.22099831700325,75.50899982452393,120.82900255918503,419.3814581809261,1.5749132421402428,True,1.3043342442805552
18944,3584,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,2,72138752,72228864,30,1343,74.50758934020996,52.672714949186755,52.55247500967109,71.16059951611801,686.4937194690453,2.5780063194197766,True,1.2166147277026191
18944,3584,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,2,72138752,72228864,30,1,,79.48099821805954,75.66800266504288,106.46899938583374,454.94506625086524,1.7084661119561266,True,1.4149419760982602
18944,3584,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,2,72138752,72228864,30,1347,74.28557872772217,52.8186268512638,52.469412981357586,71.24821493691131,684.5972747800581,2.570884555222982,True,1.2132538192580675
